epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8576,0.7345,2.53678,1.30318,0.0029,1,0.10568,0.03619,0.46355,3.3318,1.2366,2e-05,2e-05,2e-05
2,38.8226,0.7802,2.51141,1.40788,0.0029,1,0.19648,0.08186,0.4172,3.30437,1.19363,5.802e-05,5.802e-05,5.802e-05
3,57.4041,0.6737,2.45753,1.34882,0.0029,1,0.33144,0.15549,0.38142,3.26899,1.16069,9.34e-05,9.34e-05,9.34e-05
4,75.8689,0.51214,2.23399,1.21813,0.0029,1,0.4351,0.26643,0.3694,3.2416,1.12549,0.00012614,0.00012614,0.00012614
5,94.1671,0.54468,1.99693,1.22535,0.0029,1,0.48804,0.29836,0.38423,3.19902,1.10912,0.00015624,0.00015624,0.00015624
6,112.794,0.49877,1.64168,1.18128,0.0029,1,0.62522,0.46599,0.37878,3.1021,1.0996,0.0001837,0.0001837,0.0001837
7,131.522,0.49848,1.57836,1.15651,0.0029,1,0.80098,0.64772,0.46768,3.10593,1.16541,0.00020852,0.00020852,0.00020852
8,149.973,0.40917,1.20434,1.08037,0.0029,1,0.66682,0.47708,0.98679,3.3692,1.58343,0.0002307,0.0002307,0.0002307
9,169.098,0.47311,1.20321,1.16101,0.0029,1,0.60134,0.38191,1.44724,3.67604,1.87328,0.00025024,0.00025024,0.00025024
10,187.789,0.4965,1.19443,1.10899,0.0029,1,0.7034,0.44757,1.31965,3.56667,1.79603,0.00026714,0.00026714,0.00026714
11,206.457,0.43364,1.0392,1.08908,0.00402,1,0.83483,0.56169,0.98235,3.24154,1.62517,0.0002814,0.0002814,0.0002814
12,224.785,0.47566,1.14273,1.18831,0.80769,0.31196,0.88487,0.63301,0.78408,2.96828,1.52787,0.00029302,0.00029302,0.00029302
13,243.126,0.41082,1.07591,1.07871,0.9513,0.44444,0.92717,0.66727,0.76783,2.8854,1.57061,0.000302,0.000302,0.000302
14,261.275,0.48277,1.11447,1.11328,0.95593,0.80372,0.933,0.69029,0.76786,2.76697,1.59946,0.00030834,0.00030834,0.00030834
15,277.827,0.43008,1.1385,1.07875,0.84621,0.88889,0.92273,0.706,0.74231,2.68822,1.61883,0.00031204,0.00031204,0.00031204
16,290.746,0.41408,1.04167,1.06997,0.84221,0.88889,0.94522,0.75195,0.70571,2.62972,1.57851,0.0003131,0.0003131,0.0003131
17,303.354,0.43146,1.08704,1.15761,0.85839,0.89825,0.94477,0.75694,0.62274,2.67381,1.39819,0.00031152,0.00031152,0.00031152
18,316.018,0.46182,1.08357,1.13907,0.9016,0.88889,0.93771,0.76092,0.606,2.73085,1.36388,0.0003073,0.0003073,0.0003073
19,328.843,0.38202,0.99121,1.04041,0.9205,0.85783,0.93957,0.79093,0.56103,2.72134,1.29611,0.00030044,0.00030044,0.00030044
20,341.413,0.37399,0.95338,1.02713,0.90282,0.92593,0.92964,0.8279,0.51154,2.71086,1.21985,0.00029094,0.00029094,0.00029094
21,354.047,0.36674,2.05186,1.09158,0.89619,0.95936,0.91802,0.82531,0.45766,2.6436,1.13904,0.0002788,0.0002788,0.0002788
22,367.073,0.37631,1.78234,1.08823,0.89127,0.91107,0.89893,0.80409,0.45721,2.50629,1.16948,0.00026402,0.00026402,0.00026402
23,380.962,0.35991,1.57106,1.12769,0.87739,0.88889,0.90277,0.81646,0.44876,2.45702,1.19357,0.0002466,0.0002466,0.0002466
24,395.573,0.39005,1.67102,1.08834,0.87888,0.88889,0.91018,0.81234,0.4892,2.41478,1.31324,0.00022654,0.00022654,0.00022654
25,408.691,0.2885,1.43722,1.02758,0.87483,0.88889,0.91531,0.81055,0.51483,2.46389,1.35574,0.00020384,0.00020384,0.00020384
26,420.839,0.32492,1.57046,1.12077,0.87403,0.88889,0.92376,0.80963,0.53594,2.47207,1.39154,0.0001785,0.0001785,0.0001785
27,432.759,0.28418,1.47484,1.05699,0.89207,0.91859,0.95098,0.84125,0.51043,2.41759,1.33308,0.00015052,0.00015052,0.00015052
28,444.808,0.23091,1.40531,1.03024,0.89207,0.91859,0.95098,0.84125,0.51043,2.41759,1.33308,0.0001199,0.0001199,0.0001199
29,457.519,0.29612,1.43873,1.07447,0.88272,0.96296,0.96721,0.86375,0.45877,2.31004,1.22364,8.664e-05,8.664e-05,8.664e-05
30,470.862,0.2897,1.47193,1.02883,0.91175,0.96296,0.9756,0.89032,0.42058,2.22247,1.13876,5.074e-05,5.074e-05,5.074e-05
